Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,"Aug 27, 2022",7:00 PM,Sat,Florida Atlantic,43,,Charlotte,13,
1,"Aug 27, 2022",5:00 PM,Sat,Florida State,47,,Duquesne,7,
1,"Aug 27, 2022",4:00 PM,Sat,Illinois,38,,Wyoming,6,
1,"Aug 27, 2022",10:00 PM,Sat,Nevada,23,@,New Mexico State,12,
1,"Aug 27, 2022",3:30 PM,Sat,Nevada-Las Vegas,52,,Idaho State,21,
1,"Aug 27, 2022",8:00 PM,Sat,North Carolina,56,,Florida A&M,24,
1,"Aug 27, 2022",9:00 PM,Sat,North Texas,31,@,Texas-El Paso,13,
1,"Aug 27, 2022",12:30 PM,Sat,Northwestern,31,N,Nebraska,28,
1,"Aug 27, 2022",4:00 PM,Sat,Utah State,31,,Connecticut,20,
1,"Aug 27, 2022",10:30 PM,Sat,Vanderbilt,63,@,Hawaii,10,
1,"Aug 27, 2022",12:00 PM,Sat,Western Kentucky,38,,Austin Peay,27,
2,"Sep 1, 2022",6:00 PM,Thu,Akron,30,,St. Francis (PA),23,
2,"Sep 1, 2022",8:00 PM,Thu,Alabama-Birmingham,59,,Alabama A&M,0,
2,"Sep 1, 2022",10:00 PM,Thu,Arizona State,40,,Northern Arizona,3,
2,"Sep 1, 2022",7:00 PM,Thu,Central Florida,56,,South Carolina State,10,
2,"Sep 1, 2022",7:00 PM,Thu,Florida International,38,,Bryant,37,
2,"Sep 1, 2022",10:30 PM,Thu,Fresno State,35,,Cal Poly,7,
2,"Sep 1, 2022",9:00 PM,Thu,Minnesota,38,,New Mexico State,0,
2,"Sep 1, 2022",8:00 PM,Thu,Missouri,52,,Louisiana Tech,24,
2,"Sep 1, 2022",8:00 PM,Thu,Northern Illinois,34,,Eastern Illinois,27,
2,"Sep 1, 2022",7:00 PM,Thu,Oklahoma State,58,,Central Michigan,44,
2,"Sep 1, 2022",8:00 PM,Thu,Penn State,35,@,Purdue,31,
2,"Sep 1, 2022",7:00 PM,Thu,Pittsburgh,38,,West Virginia,31,
2,"Sep 1, 2022",10:30 PM,Thu,San Jose State,21,,Portland State,17,
2,"Sep 1, 2022",7:00 PM,Thu,Tennessee,59,,Ball State,10,
2,"Sep 1, 2022",7:00 PM,Thu,Toledo,37,,Long Island,0,
2,"Sep 1, 2022",7:30 PM,Thu,Wake Forest,44,,Virginia Military Institute,10,
2,"Sep 2, 2022",7:30 PM,Fri,Duke,30,,Temple,0,
2,"Sep 2, 2022",7:00 PM,Fri,Eastern Michigan,42,,Eastern Kentucky,34,
2,"Sep 2, 2022",8:00 PM,Fri,Indiana,23,,Illinois,20,
2,"Sep 2, 2022",8:00 PM,Fri,Kansas,56,,Tennessee Tech,10,
2,"Sep 2, 2022",7:00 PM,Fri,Michigan State,35,,Western Michigan,13,
2,"Sep 2, 2022",7:00 PM,Fri,Old Dominion,20,,Virginia Tech,17,
2,"Sep 2, 2022",10:00 PM,Fri,Texas Christian,38,@,Colorado,13,
2,"Sep 2, 2022",7:00 PM,Fri,William & Mary,41,@,Charlotte,24,
2,"Sep 3, 2022",1:00 PM,Sat,Air Force,48,,Northern Iowa,17,
2,"Sep 3, 2022",7:30 PM,Sat,Alabama,55,,Utah State,0,
2,"Sep 3, 2022",3:30 PM,Sat,Arizona,38,@,San Diego State,20,
2,"Sep 3, 2022",3:30 PM,Sat,Arkansas,31,,Cincinnati,24,
2,"Sep 3, 2022",7:00 PM,Sat,Arkansas State,58,,Grambling State,3,
2,"Sep 3, 2022",7:00 PM,Sat,Auburn,42,,Mercer,16,
2,"Sep 3, 2022",7:00 PM,Sat,Baylor,69,,Albany,10,
2,"Sep 3, 2022",4:00 PM,Sat,Brigham Young,50,@,South Florida,21,
2,"Sep 3, 2022",4:00 PM,Sat,California,34,,California-Davis,13,
2,"Sep 3, 2022",7:00 PM,Sat,Coastal Carolina,38,,Army,28,
2,"Sep 3, 2022",12:00 PM,Sat,Connecticut,28,,Central Connecticut State,3,
2,"Sep 3, 2022",12:00 PM,Sat,Delaware,14,@,Navy,7,
2,"Sep 3, 2022",7:00 PM,Sat,Florida,29,,Utah,26,
2,"Sep 3, 2022",3:30 PM,Sat,Georgia,49,N,Oregon,3,
2,"Sep 3, 2022",6:00 PM,Sat,Georgia Southern,59,,Morgan State,7,
2,"Sep 3, 2022",3:30 PM,Sat,Houston,37,@,Texas-San Antonio,35,
2,"Sep 3, 2022",12:00 PM,Sat,Iowa,7,,South Dakota State,3,
2,"Sep 3, 2022",2:00 PM,Sat,Iowa State,42,,Southeast Missouri State,10,
2,"Sep 3, 2022",6:00 PM,Sat,James Madison,44,,Middle Tennessee State,7,
2,"Sep 3, 2022",7:00 PM,Sat,Kansas State,34,,South Dakota,0,
2,"Sep 3, 2022",7:00 PM,Sat,Kentucky,37,,Miami (OH),13,
2,"Sep 3, 2022",7:00 PM,Sat,Liberty,29,@,Southern Mississippi,27,
2,"Sep 3, 2022",7:00 PM,Sat,Louisiana,24,,Southeastern Louisiana,7,
2,"Sep 3, 2022",3:30 PM,Sat,Marshall,55,,Norfolk State,3,
2,"Sep 3, 2022",12:00 PM,Sat,Maryland,31,,Buffalo,10,
2,"Sep 3, 2022",3:30 PM,Sat,Miami (FL),70,,Bethune-Cookman,13,
2,"Sep 3, 2022",12:00 PM,Sat,Michigan,51,,Colorado State,7,
2,"Sep 3, 2022",4:00 PM,Sat,Mississippi,28,,Troy,10,
2,"Sep 3, 2022",7:30 PM,Sat,Mississippi State,49,,Memphis,23,
2,"Sep 3, 2022",3:30 PM,Sat,Nebraska,38,,North Dakota,17,
2,"Sep 3, 2022",5:30 PM,Sat,Nevada,38,,Texas State,14,
2,"Sep 3, 2022",8:00 PM,Sat,New Mexico,41,,Maine,0,
2,"Sep 3, 2022",12:00 PM,Sat,North Carolina,63,@,Appalachian State,61,
2,"Sep 3, 2022",12:00 PM,Sat,North Carolina State,21,@,East Carolina,20,
2,"Sep 3, 2022",6:00 PM,Sat,Ohio,41,,Florida Atlantic,38,
2,"Sep 3, 2022",7:30 PM,Sat,Ohio State,21,,Notre Dame,10,
2,"Sep 3, 2022",3:30 PM,Sat,Oklahoma,45,,Texas-El Paso,13,
2,"Sep 3, 2022",10:30 PM,Sat,Oregon State,34,,Boise State,17,
2,"Sep 3, 2022",12:00 PM,Sat,Rutgers,22,@,Boston College,21,
2,"Sep 3, 2022",5:00 PM,Sat,South Alabama,48,,Nicholls State,7,
2,"Sep 3, 2022",7:30 PM,Sat,South Carolina,35,,Georgia State,14,
2,"Sep 3, 2022",6:00 PM,Sat,Southern California,66,,Rice,14,
2,"Sep 3, 2022",7:30 PM,Sat,Southern Methodist,48,@,North Texas,10,
2,"Sep 3, 2022",8:00 PM,Sat,Stanford,41,,Colgate,10,
2,"Sep 3, 2022",8:00 PM,Sat,Syracuse,31,,Louisville,7,
2,"Sep 3, 2022",8:00 PM,Sat,Texas,52,,Louisiana-Monroe,10,
2,"Sep 3, 2022",12:00 PM,Sat,Texas A&M,31,,Sam Houston,0,
2,"Sep 3, 2022",8:00 PM,Sat,Texas Tech,63,,Murray State,10,
2,"Sep 3, 2022",7:00 PM,Sat,Tulane,42,,Massachusetts,10,
2,"Sep 3, 2022",2:30 PM,Sat,UCLA,45,,Bowling Green,17,
2,"Sep 3, 2022",7:00 PM,Sat,Vanderbilt,42,,Elon,31,
